Group,Player
0,"Shareef Abdur-Rahim,Ray Allen,Derek Anderson,Kenny Anderson,Darrell Armstrong,Chucky Atkins,Vin Baker,Brent Barry,Jon Barry,Shane Battier,Mike Bibby,Chauncey Billups,Elton Brand,P.J. Brown,Kobe Bryant,Elden Campbell,Vince Carter,Sam Cassell,Doug Christie,Keon Clark,Derrick Coleman,Erick Dampier,Antonio Daniels,Antonio Davis,Baron Davis,Dale Davis,Ricky Davis,Vlade Divac,Tim Duncan,Michael Finley,Marcus Fizer,Danny Fortson,Jeff Foster,Rick Fox,Steve Francis,Kevin Garnett,Pat Garrity,Pau Gasol,Brian Grant,Richard Hamilton,Anfernee Hardaway,Matt Harpring,Trenton Hassell,Allan Houston,Juwan Howard,Troy Hudson,Larry Hughes,Allen Iverson*,Bobby Jackson,Mark Jackson,Antawn Jamison,Richard Jefferson,Eddie Jones,Jumaine Jones,Popeye Jones,Michael Jordan*,Jason Kidd,Andrei Kirilenko,Kerry Kittles,Raef LaFrentz,Rashard Lewis,Karl Malone*,Stephon Marbury,Shawn Marion,Donyell Marshall,Kenyon Martin,Anthony Mason,Desmond Mason,Tracy McGrady,Jeff McInnis,Chris Mihm,Darius Miles,Andre Miller,Brad Miller,Mike Miller,Reggie Miller*,Cuttino Mobley,Nazr Mohammed,Alonzo Mourning*,Lamond Murray,Dikembe Mutombo*,Lee Nailon,Steve Nash,Rasho Nesterovic,Moochie Norris,Dirk Nowitzki,Jermaine O'Neal,Shaquille O'Neal*,Michael Olowokandi,Tony Parker,Ruben Patterson,Gary Payton*,Wesley Person,Morris Peterson,Paul Pierce,Scottie Pippen*,James Posey,Jason Richardson,Quentin Richardson,Clifford Robinson,David Robinson*,Glenn Robinson,Rodney Rogers,Jalen Rose,Malik Rose,Joe Smith,Steve Smith,Eric Snow,Latrell Sprewell,Jerry Stackhouse,John Stockton*,Peja Stojakovic,Damon Stoudamire,Rod Strickland,Stromile Swift,Wally Szczerbiak,Jason Terry,Kenny Thomas,Kurt Thomas,Tim Thomas,Jamaal Tinsley,Hedo Turkoglu,Nick Van,Keith Van,Antoine Walker,Ben Wallace,Rasheed Wallace,Clarence Weatherspoon,Chris Webber,Bonzi Wells,David Wesley,Chris Whitney,Alvin Williams,Jason Williams,Corliss Williamson,Metta World"
1,Courtney Alexander
2,"Tariq Abdul-Wahad,Malik Allen,Rafer Alston,John Amaechi,Chris Andersen,Nick Anderson,Shandon Anderson,Greg Anthony,Brandon Armstrong,Carlos Arroyo,Isaac Austin,William Avery,Dalibor Bagaric,Erick Barkley,Dana Barros,Mengke Bateer,Raja Bell,Mookie Blaylock,Mark Blount,Calvin Booth,Ruben Boumtje-Boumtje,Cal Bowdler,Bruce Bowen,Earl Boykins,Michael Bradley,Shawn Bradley,Primoz Brezec,Kedrick Brown,Kwame Brown,Tierre Brown,Rick Brunson,Mark Bryant,Greg Buckner,Jud Buechler,Matt Bullard,Jason Caffey,Marcus Camby,Anthony Carter,Mateen Cleaves,Bimbo Coles,Jason Collier,Chris Crawford,Jamal Crawford,Joe Crispin,Austin Croshere,John Crotty,Vonteego Cummings,Dell Curry,Samuel Dalembert,Emanual Davis,Hubert Davis,Andrew DeClercq,Tony Delk,Derrick Dial,Michael Dickerson,DeSagana Diop,Michael Doleac,Keyon Dooling,Bryce Drew,Predrag Drobnjak,Chris Dudley,Howard Eisley,Obinna Ekezie,Evan Eschmeyer,Patrick Ewing*,Danny Ferry,Alton Ford,Antonis Fotsis,Tremaine Fowlkes,Lawrence Funderburke,Dean Garrett,Chris Gatling,Eddie Gill,Kendall Gill,Dion Glover,Tom Gugliotta,A.J. Guyton,Zendon Hamilton,Donnell Harvey,Alan Henderson,Grant Hill,Tyrone Hill,Fred Hoiberg,Eddie House,Lindsey Hunter,Steven Hunter,Jaren Jackson,Jermaine Jackson,Marc Jackson,Stephen Jackson,Jerome James,Mike James,Harold Jamison,Anthony Johnson,Alvin Jones,Damon Jones,Steve Kerr,Travis Knight,Trajan Langdon,Dan Langhi,Rusty LaRue,Quincy Lewis,Randy Livingston,Art Long,Felipe Lopez,Tyronn Lue,George Lynch,Sam Mack,Mark Madsen,Dan Majerle,Danny Manning,Sean Marks,Donny Marshall,Walter McCarty,Amal McCaskill,Jelani McCoy,Antonio McDyess,Derrick McKey,Stanislav Medvedenko,Chris Mills,Sam Mitchell,Eric Montross,Mikki Moore,Terence Morris,Tracy Murray,Ira Newble,Johnny Newman,Charles Oakley,Lamar Odom,Dean Oliver,Doug Overton,Olumide Oyedeji,Robert Pack,Milt Palacio,Cherokee Parks,Mark Pope,Terry Porter,Lavor Postell,Vladimir Radmanovic,Zach Randolph,Don Reid,Glen Rice,Mitch Richmond*,Isaiah Rider,Eddie Robinson,Carlos Rogers,Sean Rooks,Michael Ruffin,Kenny Satterfield,Brian Scalabrine,Shawnelle Scott,Ansu Sesay,Brian Shaw,Bobby Simmons,Charles Smith,Jabari Smith,Will Solomon,Felton Spencer,John Starks,Vladimir Stepania,DeShawn Stevenson,Bryant Stith,Mark Strickland,Etan Thomas,Oscar Torres,Robert Traylor,Gerald Wallace,John Wallace,Charlie Ward,Earl Watson,Rodney White,Scott Williams,Shammond Williams,Walt Williams,Kevin Willis,Loren Woods,Wang Zhizhi"
3,Gilbert Arenas
4,"Derek Fisher,Devean George,Tim Hardaway,Lucious Harris,Robert Horry,DerMarr Johnson,Toni Kukoc,Voshon Lenard,George McCloud,Aaron McKie,Anthony Peeler,Eric Piatkowski,Michael Redd,Bryon Russell,Erick Strickland"
5,Stacey Augmon
6,Jonathan Bender
7,"Corie Blount,Adonal Foyle,Ervin Johnson,Hanno Mottola,Tyrone Nesby,Hakeem Olajuwon*,Greg Ostertag,Lorenzen Wright"
8,Terrell Brandon
9,Rodney Buford
10,"Tony Battie,Kelvin Cato,Tyson Chandler,Jarron Collins,Eddy Curry,Horace Grant,Darvin Ham,Othella Harrington,Brendan Haywood,Todd MacCulloch,Jamaal Magloire,Eduardo Najera,Bo Outlaw,Scot Pollard,Joel Przybilla,Zeljko Rebraca,Brian Skinner,Gary Trent,Jake Tsakalidis,Jake Voskuhl,Samaki Walker,Jahidi White,Aaron Williams,Jerome Williams,Monty Williams"
11,Calbert Cheaney
12,Chris Childs
13,"Speedy Claxton,Brevin Knight"
14,"Ryan Bowen,Shawn Kemp,Troy Murphy,Vitaly Potapenko"
15,Jason Collins
16,Michael Curry
17,LaPhonso Ellis
18,Adrian Griffin
19,Eddie Griffin
20,Al Harrington
21,Zydrunas Ilgauskas
22,Jim Jackson
23,Avery Johnson
24,Joe Johnson
25,Christian Laettner
26,Grant Long
27,Corey Maggette
28,Jamal Mashburn
29,Tony Massenburg
30,Ron Mercer
31,Scott Padgett
32,Bob Sura
33,"Travis Best,Jacque Vaughn"
34,"Kevin Ollie,Eric Williams"
