Group,Player
0,"Kurt Thomas,Jake Voskuhl"
1,"Maurice Ager,Malik Allen,Alan Anderson,Derek Anderson,Rafael Araujo,Kelenna Azubuike,Marcus Banks,J.J. Barea,Earl Barron,Brandon Bass,Will Blalock,Andray Blatche,Keith Bogans,Matt Bonner,Calvin Booth,Cedric Bozeman,Primoz Brezec,Dee Brown,Shannon Brown,Greg Buckner,Pat Burke,Jackie Butler,Brian Cardinal,Rodney Carney,Speedy Claxton,Jarron Collins,Mardy Collins,Brian Cook,Austin Croshere,Marquis Daniels,Dale Davis,Paul Davis,Carlos Delfino,Yakhouba Diawara,Dan Dickau,Travis Diener,Ike Diogu,Michael Doleac,Keyon Dooling,Quincy Douby,Melvin Ely,Daniel Ewing,Jordan Farmar,Danny Fortson,Steve Francis,Matt Freije,Pat Garrity,Mickael Gelabale,Devean George,Daniel Gibson,Gordan Giricek,Stephen Graham,Orien Greene,Lynn Greer,Adrian Griffin,Junior Harrington,Othella Harrington,Jason Hart,Walter Herrmann,Robert Hite,Robert Horry,Eddie House,Troy Hudson,Kris Humphries,Lindsey Hunter,Ersan Ilyasova,Royal Ivey,Luke Jackson,Marc Jackson,Jerome James,Marko Jaric,Sarunas Jasikevicius,Anthony Johnson,DerMarr Johnson,Linton Johnson,Bobby Jones,Damon Jones,Fred Jones,James Jones,Jumaine Jones,Viktor Khryapa,Tarence Kinsey,Raef LaFrentz,Kyle Lowry,John Lucas,Tyronn Lue,Damir Markota,Rawle Marshall,Darrick Martin,Roger Mason,Sean May,Rashad McCants,Jeff McInnis,Keith McLeod,C.J. Miles,Ronald Murray,Ira Newble,David Noel,Steve Novak,Patrick O'Bryant,Kevin Ollie,Michael Olowokandi,Scott Padgett,Gary Payton*,Scot Pollard,Leon Powe,Josh Powell,Ronnie Price,Chris Quinn,Vladimir Radmanovic,Shavlik Randolph,Allan Ray,J.J. Redick,Justin Reed,Jared Reiner,Anthony Roberson,Lawrence Roberts,Bernard Robinson,Clifford Robinson,Sergio Rodriguez,Jalen Rose,Malik Rose,Michael Ruffin,Brian Scalabrine,Luke Schenscher,Thabo Sefolosha,Mouhamed Sene,Cedric Simmons,James Singleton,Kirk Snyder,Vassilis Spanoulis,Peja Stojakovic,Damon Stoudamire,Salim Stoudamire,Mike Sweetney,Stromile Swift,Wally Szczerbiak,Donell Taylor,Maurice Taylor,Sebastian Telfair,Jake Tsakalidis,Beno Udrih,Jacque Vaughn,Charlie Villanueva,Marcus Vinicius,Sasha Vujacic,Bonzi Wells,David Wesley,James White,Mike Wilks,Eric Williams,Lou Williams,Marcus Williams,Shammond Williams,Shawne Williams,Antoine Wright,Bracey Wright,Dorell Wright"
2,"Ray Allen,Rafer Alston,Carmelo Anthony,Gilbert Arenas,Chucky Atkins,Leandro Barbosa,Andrea Bargnani,Matt Barnes,Shane Battier,Charlie Bell,Raja Bell,Mike Bibby,Chauncey Billups,Steve Blake,Earl Boykins,Devin Brown,Kobe Bryant,Caron Butler,Matt Carroll,Vince Carter,Jamal Crawford,Baron Davis,Ricky Davis,Juan Dixon,Chris Duhon,Mike Dunleavy,Monta Ellis,Maurice Evans,Raymond Felton,Michael Finley,Derek Fisher,T.J. Ford,Randy Foye,Francisco Garcia,Rudy Gay,Manu Ginobili,Ben Gordon,Danny Granger,Gerald Green,Willie Green,Richard Hamilton,Al Harrington,Devin Harris,Jarvis Hayes,Luther Head,Grant Hill,Kirk Hinrich,Josh Howard,Larry Hughes,Andre Iguodala,Allen Iverson*,Jarrett Jack,Stephen Jackson,LeBron James,Mike James,Antawn Jamison,Richard Jefferson,Joe Johnson,Jason Kidd,Linas Kleiza,Kyle Korver,Rashard Lewis,Corey Maggette,Stephon Marbury,Shawn Marion,Kevin Martin,Tracy McGrady,Andre Miller,Mike Miller,Cuttino Mobley,Adam Morrison,Troy Murphy,Steve Nash,Jameer Nelson,Dirk Nowitzki,Lamar Odom,Mehmet Okur,Jannero Pargo,Anthony Parker,Smush Parker,Tony Parker,Chris Paul,Paul Pierce,James Posey,Tayshaun Prince,Michael Redd,Luke Ridnour,Brandon Roy,John Salmons,Jerry Stackhouse,DeShawn Stevenson,Jason Terry,Tim Thomas,Jamaal Tinsley,Hedo Turkoglu,Ime Udoka,Dwyane Wade,Gerald Wallace,Rasheed Wallace,Luke Walton,Earl Watson,Delonte West,Damien Wilkins,Deron Williams,Jason Williams,Mo Williams,Metta World"
3,"LaMarcus Aldridge,Trevor Ariza,Renaldo Balkman,Francisco Elson,Reggie Evans,Steven Hunter,Dikembe Mutombo*,Shaquille O'Neal*,Fabricio Oberto,Etan Thomas,Ronny Turiaf,Corliss Williamson"
4,"Hassan Adams,Tony Allen,Hilton Armstrong,Maceo Baston,Josh Boone,Ronnie Brewer,Andre Brown,Kwame Brown,Adonal Foyle,David Harrison,Alan Henderson,Ryan Hollins,Alexander Johnson,Amir Johnson,Solomon Jones,Nenad Krstic,Mark Madsen,Aaron McKie,Nazr Mohammed,Bo Outlaw,Jamal Sampson,Darius Songaila,Aaron Williams,Justin Williams"
5,"Dan Gadzuric,Jared Jeffries,Jason Maxiell,Joel Przybilla,Lorenzen Wright"
6,"Darrell Armstrong,Brent Barry,Eddie Jones,Jason Kapono,Donyell Marshall,Bostjan Nachbar,Andres Nocioni,Sasha Pavlovic,Morris Peterson,Nate Robinson,J.R. Smith"
7,"Tony Battie,DeSagana Diop,Jeff Foster,Kendrick Perkins,Brian Skinner,Kenny Thomas,Tyrus Thomas"
8,"Andris Biedrins,Andrew Bynum,Tyson Chandler,Erick Dampier,Boris Diaw,Chuck Hayes,Brendan Haywood,Nene Hilario,David Lee,Jamaal Magloire,Antonio McDyess,Paul Millsap,Mikki Moore,Alonzo Mourning*,Eduardo Najera,Rasho Nesterovic,Johan Petro,Craig Smith"
9,"Shareef Abdur-Rahim,Mark Blount,Andrew Bogut,Carlos Boozer,Chris Bosh,Elton Brand,Marcus Camby,Nick Collison,Eddy Curry,Samuel Dalembert,Luol Deng,Tim Duncan,Channing Frye,Kevin Garnett,Pau Gasol,Ryan Gomes,Drew Gooden,Matt Harpring,Udonis Haslem,Dwight Howard,Juwan Howard,Zydrunas Ilgauskas,Al Jefferson,Chris Kaman,Andrei Kirilenko,Desmond Mason,Darko Milicic,Brad Miller,Yao Ming*,Jermaine O'Neal,Emeka Okafor,Zaza Pachulia,Ruben Patterson,Zach Randolph,Josh Smith,Amar'e Stoudemire,Anderson Varejao,Ben Wallace,Hakim Warrick,Chris Webber,David West,Chris Wilcox,Marvin Williams"
