Year,Communities,More_than_10,Only_one
1987,129,4,95
1988,128,6,99
1989,151,7,121
1990,174,5,141
1991,171,5,137
1992,172,7,146
1993,162,5,131
1994,166,5,132
1995,167,5,142
1996,168,8,143
1997,158,5,136
1998,185,5,146
1999,170,4,136
2000,173,6,146
2001,172,7,139
2002,174,6,150
2003,186,4,161
2004,169,7,142
2005,176,5,137
2006,184,4,156
2007,175,4,144
2008,161,5,133
2009,158,8,132
2010,173,7,145
2011,155,8,111
2012,190,5,150
2013,173,6,138
2014,160,8,129
2015,194,8,160
2016,197,5,162
2017,218,5,190
