Year,Communities,More_than_10,Only_one
1987,128,5,95
1988,128,6,99
1989,153,4,121
1990,171,5,140
1991,169,5,136
1992,170,5,146
1993,162,5,131
1994,169,5,132
1995,169,5,142
1996,171,10,143
1997,158,5,137
1998,187,5,146
1999,170,4,137
2000,175,6,146
2001,170,5,139
2002,176,7,151
2003,187,5,161
2004,168,6,142
2005,172,6,137
2006,185,6,157
2007,175,4,144
2008,163,5,133
2009,156,6,132
2010,174,9,145
2011,154,8,111
2012,188,6,150
2013,173,6,138
2014,158,7,129
2015,195,6,161
2016,197,5,162
2017,220,5,190
