Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Group,Merged_Group
2001.0,Mahmoud Abdul-Rauf,PG,31.0,VAN,41.0,0.0,486.0,16.7,0.514,0.057,0.118,1.2,4.7,2.9,32.7,1.0,0.1,9.1,26.8,0.7,0.0,0.7,0.07,0.8,-5.3,-4.5,-0.3,120.0,246.0,0.488,4.0,14.0,0.28600000000000003,116.0,232.0,0.5,0.496,22.0,29.0,0.759,5.0,20.0,25.0,76.0,9.0,1.0,26.0,50.0,266.0,0,1
2001.0,Tariq Abdul-Wahad,SG,26.0,DEN,29.0,12.0,420.0,5.8,0.438,0.09,0.324,3.6,11.8,7.6,8.1,1.7,2.1,21.1,17.1,-0.7,0.3,-0.4,-0.049,-5.9,0.0,-5.9,-0.4,43.0,111.0,0.387,4.0,10.0,0.4,39.0,101.0,0.386,0.405,21.0,36.0,0.583,14.0,45.0,59.0,22.0,14.0,13.0,34.0,54.0,111.0,0,1
2001.0,Shareef Abdur-Rahim,SF,24.0,VAN,81.0,81.0,3241.0,19.1,0.5489999999999999,0.05,0.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,5.6,2.9,8.5,0.126,1.3,0.9,2.2,3.5,604.0,1280.0,0.472,12.0,64.0,0.188,592.0,1216.0,0.487,0.477,443.0,531.0,0.8340000000000001,175.0,560.0,735.0,250.0,90.0,77.0,231.0,238.0,1663.0,10,2
2001.0,Cory Alexander,PG,27.0,ORL,26.0,0.0,227.0,6.3,0.407,0.28600000000000003,0.321,0.0,12.5,6.1,23.5,3.6,0.0,28.1,17.3,-0.5,0.3,-0.1,-0.031,-5.9,-0.1,-6.1,-0.2,18.0,56.0,0.321,4.0,16.0,0.25,14.0,40.0,0.35,0.35700000000000004,12.0,18.0,0.667,0.0,25.0,25.0,36.0,16.0,0.0,25.0,29.0,52.0,0,1
2001.0,Courtney Alexander,PG,23.0,TOT,65.0,24.0,1382.0,11.6,0.484,0.08,0.262,3.5,8.4,5.9,8.0,1.7,0.3,10.5,23.2,0.3,0.5,0.8,0.027000000000000003,-1.8,-2.5,-4.4,-0.8,239.0,573.0,0.417,17.0,46.0,0.37,222.0,527.0,0.421,0.4320000000000001,123.0,150.0,0.82,42.0,101.0,143.0,62.0,45.0,5.0,75.0,139.0,618.0,0,1
2001.0,Ray Allen,SG,25.0,MIL,82.0,82.0,3129.0,22.9,0.61,0.35700000000000004,0.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,11.5,2.2,13.7,0.211,6.5,-0.9,5.6,6.0,628.0,1309.0,0.48,202.0,467.0,0.433,426.0,842.0,0.506,0.557,348.0,392.0,0.888,101.0,327.0,428.0,374.0,124.0,20.0,204.0,192.0,1806.0,1,3
2001.0,Rafer Alston,PG,24.0,MIL,37.0,2.0,288.0,12.1,0.429,0.35700000000000004,0.155,1.6,10.6,6.1,34.6,2.4,0.0,18.2,17.2,0.1,0.2,0.3,0.055,-1.8,-2.7,-4.5,-0.2,30.0,84.0,0.35700000000000004,8.0,30.0,0.267,22.0,54.0,0.407,0.405,9.0,13.0,0.6920000000000001,4.0,27.0,31.0,68.0,13.0,0.0,20.0,27.0,77.0,0,1
2001.0,John Amaechi,C,30.0,ORL,82.0,36.0,1710.0,8.7,0.455,0.012,0.471,4.9,12.7,8.7,7.0,0.8,1.2,14.8,21.7,-1.3,1.4,0.0,0.001,-5.1,-1.8,-6.9,-2.1,237.0,592.0,0.4,0.0,7.0,0.0,237.0,585.0,0.405,0.4,176.0,279.0,0.631,77.0,191.0,268.0,74.0,28.0,29.0,124.0,175.0,650.0,20,0
2001.0,Derek Anderson,SG,26.0,SAS,82.0,82.0,2859.0,17.1,0.542,0.255,0.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,5.6,4.3,9.9,0.166,2.6,1.0,3.6,4.0,413.0,993.0,0.416,101.0,253.0,0.399,312.0,740.0,0.422,0.467,342.0,402.0,0.851,75.0,288.0,363.0,301.0,120.0,14.0,165.0,188.0,1269.0,1,3
2001.0,Kenny Anderson,PG,30.0,BOS,33.0,28.0,849.0,12.2,0.476,0.145,0.313,2.1,8.2,5.0,26.5,2.7,0.2,16.8,16.6,0.4,0.7,1.1,0.063,-2.0,-1.3,-3.2,-0.3,88.0,227.0,0.388,11.0,33.0,0.333,77.0,194.0,0.397,0.412,59.0,71.0,0.831,16.0,57.0,73.0,134.0,44.0,2.0,52.0,62.0,246.0,0,1
2001.0,Nick Anderson,SG,33.0,SAC,21.0,0.0,169.0,6.4,0.333,0.684,0.0,2.0,13.7,8.0,11.0,3.0,1.6,10.9,16.7,-0.3,0.3,0.0,-0.011,-4.0,0.9,-3.1,0.0,14.0,57.0,0.246,10.0,39.0,0.256,4.0,18.0,0.222,0.333,0.0,0.0,0.0,3.0,22.0,25.0,13.0,10.0,4.0,7.0,13.0,38.0,2,0
2001.0,Shandon Anderson,SG,27.0,HOU,82.0,82.0,2396.0,11.9,0.528,0.28800000000000003,0.319,3.6,12.3,8.0,12.5,1.8,1.2,16.3,15.4,1.9,2.0,3.9,0.078,-0.2,0.8,0.6,1.6,263.0,590.0,0.446,46.0,170.0,0.271,217.0,420.0,0.517,0.485,138.0,188.0,0.7340000000000001,72.0,261.0,333.0,189.0,82.0,40.0,131.0,202.0,710.0,1,3
2001.0,Greg Anthony,PG,33.0,POR,58.0,0.0,856.0,12.0,0.525,0.628,0.138,3.0,5.4,4.3,14.8,2.5,0.3,13.8,16.9,0.9,0.7,1.6,0.09,1.0,-1.7,-0.6,0.3,97.0,253.0,0.383,65.0,159.0,0.409,32.0,94.0,0.34,0.512,23.0,35.0,0.657,21.0,40.0,61.0,82.0,40.0,3.0,43.0,63.0,282.0,17,0
2001.0,Darrell Armstrong,PG,32.0,ORL,75.0,75.0,2767.0,18.6,0.535,0.402,0.249,3.7,10.2,6.9,31.3,2.5,0.3,15.2,21.0,5.8,2.9,8.7,0.151,4.0,-0.5,3.5,3.8,413.0,1002.0,0.412,143.0,403.0,0.355,270.0,599.0,0.451,0.484,220.0,249.0,0.884,94.0,249.0,343.0,524.0,135.0,13.0,200.0,155.0,1189.0,1,3
2001.0,Chucky Atkins,PG,26.0,DET,81.0,75.0,2363.0,12.2,0.481,0.35600000000000004,0.13699999999999998,1.2,6.7,3.9,24.3,1.4,0.1,12.9,21.2,1.2,1.6,2.8,0.057,0.4,-2.2,-1.8,0.1,380.0,952.0,0.399,121.0,339.0,0.35700000000000004,259.0,613.0,0.423,0.463,90.0,130.0,0.6920000000000001,28.0,145.0,173.0,330.0,67.0,5.0,149.0,184.0,971.0,26,0
2001.0,Stacey Augmon,SG,32.0,POR,66.0,23.0,1182.0,12.3,0.511,0.015,0.327,6.3,9.7,8.0,12.7,2.2,1.3,13.6,13.9,1.3,1.2,2.5,0.102,-1.0,0.9,-0.2,0.6,127.0,266.0,0.477,0.0,4.0,0.0,127.0,262.0,0.485,0.477,57.0,87.0,0.655,60.0,99.0,159.0,98.0,48.0,21.0,48.0,105.0,311.0,3,0
2001.0,Isaac Austin,C,31.0,VAN,52.0,16.0,845.0,8.3,0.393,0.08900000000000001,0.14800000000000002,6.8,23.1,15.0,11.2,1.2,1.9,15.8,18.5,-1.3,0.9,-0.5,-0.026,-5.8,0.6,-5.2,-0.7,96.0,270.0,0.35600000000000004,6.0,24.0,0.25,90.0,246.0,0.366,0.3670000000000001,28.0,40.0,0.7,50.0,172.0,222.0,58.0,20.0,23.0,54.0,94.0,226.0,0,1
2001.0,William Avery,PG,21.0,MIN,55.0,0.0,463.0,9.0,0.482,0.41,0.25,1.2,6.0,3.6,24.0,1.5,0.6,22.0,20.0,-0.2,0.2,0.0,-0.003,-3.0,-3.7,-6.7,-0.5,55.0,144.0,0.382,16.0,59.0,0.271,39.0,85.0,0.459,0.438,28.0,36.0,0.778,5.0,24.0,29.0,75.0,13.0,4.0,45.0,48.0,154.0,0,1
2001.0,Dalibor Bagaric,C,20.0,CHI,35.0,0.0,259.0,3.3,0.304,0.015,0.431,9.7,16.2,12.8,6.2,1.9,4.6,21.4,17.6,-0.9,0.2,-0.7,-0.121,-9.3,0.6,-8.7,-0.4,17.0,65.0,0.262,0.0,1.0,0.0,17.0,64.0,0.266,0.262,13.0,28.0,0.464,22.0,34.0,56.0,10.0,9.0,16.0,21.0,44.0,47.0,0,1
2001.0,Vin Baker,PF,29.0,SEA,76.0,27.0,2129.0,13.0,0.481,0.019,0.391,9.7,13.5,11.6,7.0,0.9,2.5,14.1,23.8,0.6,1.2,1.8,0.04,-2.4,-1.3,-3.7,-0.9,347.0,822.0,0.422,1.0,16.0,0.063,346.0,806.0,0.429,0.423,232.0,321.0,0.723,179.0,251.0,430.0,90.0,38.0,73.0,158.0,264.0,927.0,10,2
2001.0,Dana Barros,PG,33.0,DET,60.0,0.0,1079.0,14.3,0.534,0.255,0.194,0.6,8.9,4.7,18.0,1.4,0.1,11.8,20.4,1.4,0.8,2.3,0.101,0.0,-2.1,-2.1,0.0,183.0,412.0,0.444,44.0,105.0,0.419,139.0,307.0,0.453,0.498,68.0,80.0,0.85,6.0,88.0,94.0,110.0,30.0,2.0,60.0,63.0,478.0,4,4
2001.0,Brent Barry,SG,29.0,SEA,67.0,20.0,1778.0,16.6,0.66,0.5710000000000001,0.257,2.1,11.4,6.8,19.4,2.4,0.6,16.2,13.5,4.6,1.2,5.8,0.157,3.5,-0.3,3.2,2.3,198.0,401.0,0.494,109.0,229.0,0.476,89.0,172.0,0.517,0.63,84.0,103.0,0.816,33.0,178.0,211.0,225.0,80.0,14.0,86.0,126.0,589.0,5,0
2001.0,Jon Barry,SG,31.0,SAC,62.0,2.0,1010.0,12.4,0.55,0.518,0.28600000000000003,1.8,8.1,5.0,19.0,1.4,0.4,15.6,14.9,1.5,0.9,2.4,0.114,0.0,-1.4,-1.4,0.2,103.0,255.0,0.404,46.0,132.0,0.348,57.0,123.0,0.463,0.494,64.0,73.0,0.877,16.0,78.0,94.0,130.0,28.0,6.0,53.0,66.0,316.0,4,4
2001.0,Tony Battie,C,24.0,BOS,40.0,25.0,845.0,15.2,0.562,0.015,0.343,9.7,23.1,16.1,3.3,1.7,5.4,13.8,14.4,1.0,1.3,2.3,0.131,-2.9,1.8,-1.2,0.2,108.0,201.0,0.537,0.0,3.0,0.0,108.0,198.0,0.545,0.537,44.0,69.0,0.638,73.0,160.0,233.0,16.0,27.0,60.0,37.0,126.0,260.0,6,5
2001.0,Jonathan Bender,SF,20.0,IND,59.0,7.0,574.0,7.6,0.447,0.22,0.366,2.9,11.5,7.3,9.4,0.7,3.5,16.3,21.0,-0.7,0.5,-0.1,-0.012,-5.5,-0.8,-6.3,-0.6,66.0,186.0,0.355,11.0,41.0,0.268,55.0,145.0,0.379,0.384,50.0,68.0,0.735,14.0,60.0,74.0,32.0,7.0,28.0,42.0,73.0,193.0,0,1
2001.0,Corey Benjamin,PG,22.0,CHI,65.0,5.0,857.0,8.8,0.453,0.268,0.275,5.1,8.9,6.9,14.6,1.8,1.4,15.7,21.8,-0.8,0.3,-0.5,-0.028,-3.1,-2.6,-5.7,-0.8,115.0,302.0,0.381,21.0,81.0,0.259,94.0,221.0,0.425,0.416,56.0,83.0,0.675,38.0,62.0,100.0,69.0,28.0,16.0,63.0,128.0,307.0,0,1
2001.0,David Benoit,SF,32.0,UTA,49.0,2.0,446.0,11.1,0.542,0.08800000000000001,0.265,5.7,16.6,11.3,8.4,0.7,1.1,14.6,19.8,0.4,0.4,0.7,0.08,-2.0,-1.7,-3.7,-0.2,71.0,147.0,0.483,5.0,13.0,0.385,66.0,134.0,0.493,0.5,31.0,39.0,0.795,20.0,61.0,81.0,22.0,6.0,6.0,28.0,75.0,178.0,7,6
