Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002.0,Tariq Abdul-Wahad,SG,27.0,TOT,24.0,12.0,441.0,9.8,0.418,0.013999999999999999,0.22399999999999998,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,-0.3,0.3,0.0,-0.003,-3.5,0.3,-3.2,-0.1,55.0,147.0,0.374,1.0,2.0,0.5,54.0,145.0,0.37200000000000005,0.37799999999999995,24.0,33.0,0.727,41.0,43.0,84.0,24.0,20.0,10.0,27.0,56.0,135.0
2002.0,Shareef Abdur-Rahim,PF,25.0,ATL,77.0,77.0,2980.0,19.8,0.536,0.054000000000000006,0.40299999999999997,7.6,19.2,13.3,15.1,1.7,2.0,14.1,27.0,4.1,3.1,7.2,0.11599999999999999,1.2,0.8,2.0,3.0,598.0,1297.0,0.461,21.0,70.0,0.3,577.0,1227.0,0.47,0.469,419.0,523.0,0.8009999999999999,198.0,498.0,696.0,239.0,98.0,81.0,250.0,214.0,1636.0
2002.0,Courtney Alexander,SG,24.0,WAS,56.0,28.0,1325.0,13.6,0.521,0.038,0.255,3.7,9.3,6.5,11.3,1.4,0.4,10.2,20.4,1.6,0.6,2.2,0.08,-0.5,-1.6,-2.1,0.0,223.0,474.0,0.47,5.0,18.0,0.278,218.0,456.0,0.478,0.47600000000000003,98.0,121.0,0.81,43.0,105.0,148.0,86.0,35.0,7.0,60.0,113.0,549.0
2002.0,Malik Allen,PF,23.0,MIA,12.0,2.0,161.0,15.0,0.469,0.02,0.196,11.0,16.6,13.8,5.5,1.0,3.8,3.5,17.0,0.2,0.3,0.5,0.141,-2.3,0.9,-1.4,0.0,22.0,51.0,0.431,0.0,1.0,0.0,22.0,50.0,0.44,0.431,8.0,10.0,0.8,15.0,23.0,38.0,5.0,3.0,8.0,2.0,16.0,52.0
2002.0,Ray Allen,SG,26.0,MIL,69.0,67.0,2525.0,21.6,0.598,0.46,0.213,3.9,10.1,7.1,19.4,1.9,0.5,11.2,26.2,7.6,1.3,8.9,0.16899999999999998,6.4,-2.2,4.3,4.0,530.0,1148.0,0.462,229.0,528.0,0.434,301.0,620.0,0.485,0.561,214.0,245.0,0.873,81.0,231.0,312.0,271.0,88.0,18.0,159.0,157.0,1503.0
2002.0,Rafer Alston,PG,25.0,MIL,50.0,7.0,600.0,13.9,0.434,0.37200000000000005,0.152,2.0,11.4,6.9,36.4,2.8,0.2,16.4,19.0,0.3,0.5,0.7,0.059000000000000004,-1.1,-2.1,-3.3,-0.2,66.0,191.0,0.34600000000000003,27.0,71.0,0.38,39.0,120.0,0.325,0.41600000000000004,18.0,29.0,0.621,10.0,62.0,72.0,143.0,32.0,2.0,40.0,42.0,177.0
2002.0,John Amaechi,PF,31.0,UTA,54.0,0.0,586.0,5.4,0.41200000000000003,0.0,0.633,10.6,11.8,11.2,7.8,0.6,1.4,20.6,20.6,-1.0,0.3,-0.7,-0.055999999999999994,-6.2,-2.1,-8.3,-0.9,54.0,166.0,0.325,0.0,0.0,0.0,54.0,166.0,0.325,0.325,67.0,105.0,0.638,52.0,57.0,109.0,29.0,7.0,10.0,55.0,64.0,175.0
2002.0,Chris Andersen,C,23.0,DEN,24.0,1.0,262.0,13.8,0.41700000000000004,0.054000000000000006,0.37799999999999995,15.8,17.4,16.5,4.2,1.4,7.9,13.1,17.0,0.0,0.3,0.3,0.057999999999999996,-4.1,2.2,-1.9,0.0,25.0,74.0,0.33799999999999997,0.0,4.0,0.0,25.0,70.0,0.35700000000000004,0.33799999999999997,22.0,28.0,0.7859999999999999,38.0,38.0,76.0,7.0,7.0,28.0,13.0,35.0,72.0
2002.0,Derek Anderson,SG,27.0,POR,70.0,27.0,1860.0,15.5,0.5379999999999999,0.373,0.34,2.9,9.1,6.0,18.6,2.0,0.3,11.0,19.4,3.8,1.5,5.3,0.13699999999999998,2.0,-1.1,0.9,1.3,247.0,612.0,0.40399999999999997,85.0,228.0,0.373,162.0,384.0,0.42200000000000004,0.473,178.0,208.0,0.856,47.0,142.0,189.0,216.0,68.0,8.0,87.0,113.0,757.0
2002.0,Kenny Anderson,PG,31.0,BOS,76.0,76.0,2430.0,13.6,0.47200000000000003,0.046,0.184,2.5,10.1,6.2,28.1,3.0,0.3,13.3,16.7,1.7,3.5,5.2,0.10300000000000001,-1.5,1.1,-0.3,1.0,312.0,716.0,0.436,9.0,33.0,0.273,303.0,683.0,0.444,0.442,98.0,132.0,0.742,57.0,218.0,275.0,403.0,141.0,10.0,119.0,210.0,731.0
