Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Group,Merged_Group
2006.0,Shareef Abdur-Rahim,PF,29.0,SAC,72.0,30.0,1961.0,17.2,0.588,0.035,0.44,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,4.0,2.2,6.2,0.152,0.4,0.4,0.9,1.4,332.0,632.0,0.525,5.0,22.0,0.227,327.0,610.0,0.536,0.529,218.0,278.0,0.784,106.0,251.0,357.0,149.0,48.0,42.0,108.0,227.0,887.0,10,1
2006.0,Malik Allen,PF,27.0,CHI,54.0,20.0,701.0,11.5,0.504,0.004,0.154,7.2,15.7,11.5,4.9,1.0,1.8,11.4,19.2,0.0,1.0,1.0,0.068,-3.9,0.0,-3.9,-0.3,121.0,247.0,0.49,1.0,1.0,1.0,120.0,246.0,0.488,0.4920000000000001,23.0,38.0,0.605,44.0,96.0,140.0,20.0,14.0,16.0,34.0,92.0,266.0,0,0
2006.0,Ray Allen,SG,30.0,SEA,78.0,78.0,3022.0,22.2,0.59,0.435,0.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,9.8,-0.3,9.5,0.15,6.7,-3.1,3.6,4.2,681.0,1500.0,0.454,269.0,653.0,0.412,412.0,847.0,0.486,0.544,324.0,359.0,0.903,71.0,261.0,332.0,286.0,105.0,16.0,188.0,151.0,1955.0,3,2
2006.0,Tony Allen,PG,24.0,BOS,51.0,9.0,978.0,12.9,0.5539999999999999,0.124,0.489,4.1,9.6,6.9,11.2,2.7,1.4,16.8,18.8,0.6,1.0,1.7,0.08199999999999999,-1.6,0.2,-1.4,0.2,129.0,274.0,0.471,11.0,34.0,0.324,118.0,240.0,0.4920000000000001,0.491,100.0,134.0,0.746,32.0,79.0,111.0,67.0,51.0,18.0,67.0,126.0,369.0,2,3
2006.0,Rafer Alston,PG,29.0,HOU,63.0,63.0,2431.0,12.6,0.475,0.423,0.194,1.8,10.4,6.1,30.8,2.3,0.5,16.4,18.8,0.2,3.1,3.4,0.067,0.1,0.7,0.8,1.7,280.0,738.0,0.379,102.0,312.0,0.327,178.0,426.0,0.418,0.449,99.0,143.0,0.6920000000000001,36.0,219.0,255.0,425.0,101.0,15.0,157.0,194.0,761.0,3,2
2006.0,Chris Andersen,C,27.0,NOK,32.0,2.0,570.0,14.1,0.562,0.0,1.051,12.4,20.2,16.2,1.7,0.8,5.9,15.4,13.9,0.6,0.7,1.3,0.112,-2.8,1.3,-1.5,0.1,56.0,98.0,0.5710000000000001,0.0,0.0,0.0,56.0,98.0,0.5710000000000001,0.5710000000000001,49.0,103.0,0.476,61.0,94.0,155.0,6.0,8.0,41.0,26.0,84.0,161.0,2,3
2006.0,Alan Anderson,SF,23.0,CHA,36.0,7.0,564.0,10.4,0.52,0.32,0.227,4.4,10.3,7.2,9.3,1.0,0.6,13.9,18.2,0.2,0.3,0.4,0.037000000000000005,-1.9,-1.8,-3.7,-0.2,75.0,181.0,0.414,24.0,58.0,0.414,51.0,123.0,0.415,0.481,33.0,41.0,0.805,23.0,47.0,70.0,32.0,11.0,4.0,32.0,48.0,207.0,1,4
2006.0,Derek Anderson,SG,31.0,TOT,43.0,11.0,1047.0,10.8,0.496,0.442,0.366,2.4,13.3,8.0,15.7,1.2,0.5,13.3,18.2,0.5,1.1,1.6,0.07400000000000001,-1.2,-0.4,-1.5,0.1,108.0,303.0,0.35600000000000004,40.0,134.0,0.299,68.0,169.0,0.402,0.422,93.0,111.0,0.838,21.0,122.0,143.0,101.0,23.0,6.0,54.0,98.0,349.0,1,4
2006.0,Shandon Anderson,SF,32.0,MIA,48.0,1.0,638.0,6.2,0.47,0.151,0.14300000000000002,3.5,11.1,7.5,6.9,1.4,0.7,15.2,11.4,-0.1,0.7,0.5,0.039,-3.7,0.4,-3.3,-0.2,54.0,126.0,0.429,5.0,19.0,0.263,49.0,107.0,0.458,0.448,13.0,18.0,0.722,18.0,63.0,81.0,30.0,17.0,6.0,24.0,75.0,126.0,1,4
2006.0,Carmelo Anthony,SF,21.0,DEN,80.0,80.0,2941.0,22.0,0.563,0.097,0.451,4.9,10.7,7.8,14.3,1.5,1.1,10.4,32.0,6.8,2.6,9.4,0.153,3.0,-1.6,1.5,2.6,756.0,1572.0,0.481,37.0,152.0,0.243,719.0,1420.0,0.506,0.493,573.0,709.0,0.8079999999999999,122.0,272.0,394.0,216.0,88.0,42.0,218.0,229.0,2122.0,3,2
